title,source,category,url,published,content,intelligence_score,processed_timestamp,source_name,confidence_score,ingest_timestamp_utc,provenance_uuid
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 20:06:06.755791+00:00,"Trade event: None → None, Score: 9.0",0.9,2025-10-10 20:06:06.755798+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 20:06:06.755747+00:00,"Trade event: None → USA, Score: 9.0",0.9,2025-10-10 20:06:06.755755+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 20:06:06.755708+00:00,"Trade event: None → None, Score: 9.0",0.9,2025-10-10 20:06:06.755715+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 20:06:06.755659+00:00,"Trade event: USA → USA, Score: 9.0",0.9,2025-10-10 20:06:06.755666+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 20:06:06.755621+00:00,"Trade event: None → USA, Score: 9.0",0.9,2025-10-10 20:06:06.755629+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 20:06:06.755584+00:00,"Trade event: None → USA, Score: 9.0",0.9,2025-10-10 20:06:06.755591+00:00,,,,
China-US Trade Event 20251008,GDELT,china_trade,https://www.tanzanianewsreports.com/adamawa-promotes-investment-opportunities-at-abuja-trade-fair/,2025-10-10 20:06:06.755545+00:00,"Trade event: NGA → None, Score: 3.4",0.33999999999999997,2025-10-10 20:06:06.755554+00:00,,,,
China-US Trade Event 20251008,GDELT,china_trade,https://www.tanzanianewsreports.com/adamawa-promotes-investment-opportunities-at-abuja-trade-fair/,2025-10-10 20:06:06.755505+00:00,"Trade event: NGA → None, Score: 3.4",0.33999999999999997,2025-10-10 20:06:06.755513+00:00,,,,
China-US Trade Event 20251008,GDELT,china_trade,https://www.tanzanianewsreports.com/adamawa-promotes-investment-opportunities-at-abuja-trade-fair/,2025-10-10 20:06:06.755460+00:00,"Trade event: NGA → None, Score: 3.4",0.33999999999999997,2025-10-10 20:06:06.755468+00:00,,,,
China-US Trade Event 20251010,GDELT,china_trade,https://www.newsghana.com.gh/business-leader-calls-ecg-tariff-request-subsidy-for-corruption/,2025-10-10 20:06:06.755416+00:00,"Trade event: None → None, Score: 3.4",0.33999999999999997,2025-10-10 20:06:06.755425+00:00,,,,
China-US Trade Event 20251010,GDELT,china_trade,https://www.newsghana.com.gh/business-leader-calls-ecg-tariff-request-subsidy-for-corruption/,2025-10-10 20:06:06.755347+00:00,"Trade event: GHA → None, Score: 3.4",0.33999999999999997,2025-10-10 20:06:06.755370+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 19:15:58.048667+00:00,"Trade event: None → None, Score: 9.0",0.9,2025-10-10 19:15:58.048675+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 19:15:58.048632+00:00,"Trade event: None → USA, Score: 9.0",0.9,2025-10-10 19:15:58.048640+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 19:15:58.048597+00:00,"Trade event: None → None, Score: 9.0",0.9,2025-10-10 19:15:58.048604+00:00,,,,
China-US Trade Event 20251007,GDELT,china_trade,https://www.yahoo.com/news/articles/warrantless-searches-tariffs-unitary-executive-110042230.html,2025-10-10 19:15:58.048563+00:00,"Trade event: USA → USA, Score: 9.0",0.9,2025-10-10 19:15:58.048570+00:00,,,,
